Lab,Tester_Id,Exp,PVS,Scene,Camera,OS,Timestamp,Camera_w_ver,Orientation
agh,263,ccriq2,DenverBotanicGardensRocks_P_compct_13mp.JPG,DenverBotanicGardensRocks,P,2,2017-12-04 15:37:03,Pver1,
agh,274,ccriq2,Senior_N_phon_8mp.jpg,Senior,N,1,2017-12-04 15:37:03,Nver1,
agh,268,ccriq2,PipesNight_P_compct_13mp.JPG,PipesNight,P,3,2017-12-04 15:37:03,Pver1,
agh,266,ccriq2,DenverBotanicGardensRocks_G_phon_5mp.jpg,DenverBotanicGardensRocks,G,2,2017-12-04 15:37:03,Gver1,
agh,282,ccriq2,BouquetPastel_X_dslr_20mp.JPG,BouquetPastel,X,3,2017-12-04 15:37:03,Xver1,
agh,259,ccriq2,DenverBotanicGardensRocks_Q_phon_13mp.jpg,DenverBotanicGardensRocks,Q,4,2017-12-04 15:37:04,Qver1,
agh,262,ccriq2,DenverBotanicGardensRocks_B_compct_1mp.JPG,DenverBotanicGardensRocks,B,2,2017-12-04 15:37:04,Bver1,
agh,270,ccriq2,BouquetPastel_H_phon_5mp.jpg,BouquetPastel,H,4,2017-12-04 15:37:04,Hver1,
agh,263,ccriq2,Senior_B_compct_1mp.JPG,Senior,B,1,2017-12-04 15:37:05,Bver1,
agh,275,ccriq2,BouquetPastel_S_phon_13mp.jpg,BouquetPastel,S,4,2017-12-04 15:37:05,Sver1,
agh,267,ccriq2,BouquetPastel_P_compct_13mp.JPG,BouquetPastel,P,5,2017-12-04 15:37:05,Pver1,
agh,269,ccriq2,BouquetPastel_M_phon_8mp.JPG,BouquetPastel,M,5,2017-12-04 15:37:06,Mver1,
agh,282,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,4,2017-12-04 15:37:06,Tver1,
agh,268,ccriq2,DenverBotanicGardensRocks_J_tab_5mp.JPG,DenverBotanicGardensRocks,J,4,2017-12-04 15:37:07,Jver1,
agh,259,ccriq2,BouquetPastel_A_phon_1mp.jpg,BouquetPastel,A,2,2017-12-04 15:37:07,Aver1,
agh,262,ccriq2,PipesNight_U_dslr_13mp.JPG,PipesNight,U,3,2017-12-04 15:37:07,Uver1,
agh,266,ccriq2,DenverBotanicGardensRocks_R_phon_13mp.jpg,DenverBotanicGardensRocks,R,2,2017-12-04 15:37:07,Rver1,
agh,263,ccriq2,DenverBotanicGardensRocks_M_phon_8mp.JPG,DenverBotanicGardensRocks,M,1,2017-12-04 15:37:07,Mver1,
agh,275,ccriq2,PipesNight_P_compct_13mp.JPG,PipesNight,P,3,2017-12-04 15:37:07,Pver1,
agh,274,ccriq2,BouquetPastel_X_dslr_20mp.JPG,BouquetPastel,X,4,2017-12-04 15:37:07,Xver1,
agh,264,ccriq2,DenverBotanicGardensRocks_O_compct_8mp.JPG,DenverBotanicGardensRocks,O,3,2017-12-04 15:37:08,Over1,
agh,267,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,2,2017-12-04 15:37:08,Bver1,
agh,270,ccriq2,PipesNight_U_dslr_13mp.JPG,PipesNight,U,4,2017-12-04 15:37:09,Uver1,
agh,259,ccriq2,PipesNight_A_phon_1mp.jpg,PipesNight,A,1,2017-12-04 15:37:09,Aver1,
agh,275,ccriq2,PipesNight_O_compct_8mp.JPG,PipesNight,O,2,2017-12-04 15:37:10,Over1,
agh,262,ccriq2,BouquetPastel_A_phon_1mp.jpg,BouquetPastel,A,1,2017-12-04 15:37:10,Aver1,
agh,266,ccriq2,Senior_J_tab_5mp.JPG,Senior,J,3,2017-12-04 15:37:10,Jver1,
agh,265,ccriq2,Senior_Q_phon_13mp.jpg,Senior,Q,3,2017-12-04 15:37:10,Qver1,
agh,269,ccriq2,Senior_K_dslr_8mp.JPG,Senior,K,5,2017-12-04 15:37:10,Kver1,
agh,282,ccriq2,Senior_H_phon_5mp.jpg,Senior,H,3,2017-12-04 15:37:11,Hver1,
agh,259,ccriq2,PipesNight_V_phon_20mp.jpg,PipesNight,V,4,2017-12-04 15:37:11,Vver1,
